Edge_ID,Edge_Weight
-22850187#0,6.75
-22850187#1,6.75
22850187#0,6.75
22850187#1,6.75
22850347#0,111.5
22850347#1,111.5
-22850194#0,13.0
-22850194#1,13.0
22850194#0,13.0
22850194#1,13.0
,inf
1138273335#0,23.11764705882353
1138273335#1,23.11764705882353
1200725390#0,23.11764705882353
1200725390#1,23.11764705882353
1200725391#1,23.11764705882353
1200725391#2,23.11764705882353
1200725391#3,23.11764705882353
1236044645,23.11764705882353
1239434258#2,23.11764705882353
1239434258#3,23.11764705882353
1245531541,23.11764705882353
1249027318,23.11764705882353
152203822,23.11764705882353
654405571#0,23.11764705882353
654405571#1,23.11764705882353
654405571#2,23.11764705882353
658655414#1,23.11764705882353
1103136711#0,26.2
1103136711#1,26.2
1117096321#0,26.2
1117096321#2,26.2
1245531542,26.2
1239434254#1,24.0
220843434,24.0
22850489#0,24.0
22850489#1,24.0
22850489#2,24.0
22850489#3,24.0
22850489#4,24.0
22850489#5,24.0
39678318#0,24.0
39678318#1,24.0
39678318#2,24.0
39678318#3,24.0
39678318#4,24.0
39678318#5,24.0
39678318#6,24.0
61652876,24.0
-1237761221,8.0
1062054751,8.0
1237761221,8.0
61651851,8.0
1177154782,4.5
1249027317,4.5
658655411#0,4.5
658655411#1,4.5
658655411#10,4.5
658655411#11,4.5
658655411#2,4.5
658655411#3,4.5
658655411#4,4.5
658655411#5,4.5
658655411#6,4.5
658655411#7,4.5
658655411#8,4.5
658655411#9,4.5
1201591783,5.090909090909091
1236044643#1,5.090909090909091
658655412#0,5.090909090909091
658655412#1,5.090909090909091
658655412#2,5.090909090909091
658655412#3,5.090909090909091
658655412#4,5.090909090909091
658655412#5,5.090909090909091
658655412#6,5.090909090909091
658655412#7,5.090909090909091
658655412#8,5.090909090909091
-1133675674#0,3.9166666666666665
-1133675674#1,3.9166666666666665
-1133675674#2,3.9166666666666665
-1133675674#3,3.9166666666666665
-1133675674#4,3.9166666666666665
-1133675674#5,3.9166666666666665
-1133675674#6,3.9166666666666665
-1237761220,3.9166666666666665
-1237761225#1,3.9166666666666665
-1237761233#1,3.9166666666666665
-610651679#0,3.9166666666666665
-610651679#2,3.9166666666666665
1133675674#0,3.9166666666666665
1133675674#1,3.9166666666666665
1133675674#2,3.9166666666666665
1133675674#3,3.9166666666666665
1133675674#4,3.9166666666666665
1133675674#5,3.9166666666666665
1133675674#6,3.9166666666666665
1237761220,3.9166666666666665
1237761225#1,3.9166666666666665
1237761233#1,3.9166666666666665
610651679#0,3.9166666666666665
610651679#1,3.9166666666666665
-22850107#1,4.888888888888889
-22850107#2,4.888888888888889
-22850107#3,4.888888888888889
-22850107#4,4.888888888888889
-22850107#5,4.888888888888889
-22850107#6,4.888888888888889
-22850107#7,4.888888888888889
-22850107#8,4.888888888888889
-22850107#9,4.888888888888889
22850107#1,4.888888888888889
22850107#2,4.888888888888889
22850107#3,4.888888888888889
22850107#4,4.888888888888889
22850107#5,4.888888888888889
22850107#6,4.888888888888889
22850107#7,4.888888888888889
22850107#8,4.888888888888889
22850107#9,4.888888888888889
,inf
-22850196#0,4.5
-22850196#1,4.5
-22850196#2,4.5
22850196#0,4.5
22850196#1,4.5
22850196#2,4.5
-1200725389#1,36.5
1200725389#1,36.5
1239434255#0,11.0
1239434255#2,11.0
1239434255#3,11.0
1239434255#3-AddedOnRampEdge,11.0
1239434255#4,11.0
1239434255#5,11.0
1239434255#6,11.0
1239434256#0,11.0
22852497#0,11.0
662360115#1,11.0
,inf
1234788292#0,14.0
1234788292#1,14.0
1234788292#2,14.0
1236044674#0,14.0
1236044674#1,14.0
1285590644#0,14.0
1285590644#1,14.0
1285590647#0,14.0
1285590647#1,14.0
-1219443082#1,6.6
-1219443083,6.6
-22850313#0,6.6
-22850313#1,6.6
-22850313#2,6.6
1219443082#1,6.6
1219443083,6.6
22850313#0,6.6
22850313#1,6.6
22850313#2,6.6
,inf
,inf
,inf
-152203348#1,3.857142857142857
-152203348#2,3.857142857142857
-152203348#3,3.857142857142857
-152203348#4,3.857142857142857
-152203348#5,3.857142857142857
-22850142#0,3.857142857142857
-22850142#1,3.857142857142857
152203348#1,3.857142857142857
152203348#2,3.857142857142857
152203348#3,3.857142857142857
152203348#4,3.857142857142857
152203348#5,3.857142857142857
22850142#0,3.857142857142857
22850142#1,3.857142857142857
-220308833#0,13.928571428571429
-220308833#1,13.928571428571429
-220308833#2,13.928571428571429
-220308833#3,13.928571428571429
-220308833#4,13.928571428571429
-220308833#5,13.928571428571429
-220308833#6,13.928571428571429
220308833#0,13.928571428571429
220308833#1,13.928571428571429
220308833#2,13.928571428571429
220308833#3,13.928571428571429
220308833#4,13.928571428571429
220308833#5,13.928571428571429
220308833#6,13.928571428571429
-22850376#0,3.0
-22850376#1,3.0
-22850376#3,3.0
22850376#0,3.0
22850376#1,3.0
22850376#3,3.0
