Location,Edge_IDs
GM Bhosle Marg,"['1201591783', '1236044643#1', '658655412#0', '658655412#1', '658655412#2', '658655412#3', '658655412#4', '658655412#5', '658655412#6', '658655412#7', '658655412#8']"
Sivram Seth Amritwar Marg,"['-220308833#0', '-220308833#1', '-220308833#2', '-220308833#3', '-220308833#4', '-220308833#5', '-220308833#6', '220308833#0', '220308833#1', '220308833#2', '220308833#3', '220308833#4', '220308833#5', '220308833#6']"
D N Wakrikar Marg,"['-22850194#0', '-22850194#1', '22850194#0', '22850194#1']"
B R Thokle Marg,"['-22850187#0', '-22850187#1', '22850187#0', '22850187#1']"
Dr E Moses Marg,"['1103136711#0', '1103136711#1', '1117096321#0', '1117096321#2', '1245531542']"
Bhagoji Waghmare Marg,"['-1219443084', '-39220085#0', '-39220085#1', '-39220085#2', '-39220085#3', '-39220085#4', '-39220085#5', '-924453769#0', '-924453769#1', '1219443084', '39220085#0', '39220085#1', '39220085#2', '39220085#3', '39220085#4', '39220085#5', '924453769#0', '924453769#1']"
Drainage Channel Marg,"['-1237761221', '1062054751', '1237761221', '61651851']"
Pandurang Budhkar Marg,"['1234788292#0', '1234788292#1', '1234788292#2', '1236044674#0', '1236044674#1', '1285590644#0', '1285590644#1', '1285590647#0', '1285590647#1']"
Dr Annie Besant Road,"['1138273335#0', '1138273335#1', '1200725390#0', '1200725390#1', '1200725391#1', '1200725391#2', '1200725391#3', '1236044645', '1239434258#2', '1239434258#3', '1245531541', '1249027318', '152203822', '654405571#0', '654405571#1', '654405571#2', '658655414#1']"
S N Munje Road,"['-1177156540', '-1210675283', '-22850088#0', '-22850088#1', '-22850088#2', '-22850088#3', '-22850285', '1177156540', '1210675283', '22850088#0', '22850088#1', '22850088#2', '22850088#3', '22850285']"
Ganapatrao Kadam Marg,"['-1133675674#0', '-1133675674#1', '-1133675674#2', '-1133675674#3', '-1133675674#4', '-1133675674#5', '-1133675674#6', '-1237761220', '-1237761225#1', '-1237761233#1', '-610651679#0', '-610651679#2', '1133675674#0', '1133675674#1', '1133675674#2', '1133675674#3', '1133675674#4', '1133675674#5', '1133675674#6', '1237761220', '1237761225#1', '1237761233#1', '610651679#0', '610651679#1']"
Guruvarya B R Thokle Marg,"['-22850196#0', '-22850196#1', '-22850196#2', '22850196#0', '22850196#1', '22850196#2']"
Ganpat Jadhav Marg,"['-22850107#1', '-22850107#2', '-22850107#3', '-22850107#4', '-22850107#5', '-22850107#6', '-22850107#7', '-22850107#8', '-22850107#9', '22850107#1', '22850107#2', '22850107#3', '22850107#4', '22850107#5', '22850107#6', '22850107#7', '22850107#8', '22850107#9']"
Sir Pochkhanwala Marg,"['-152203348#1', '-152203348#2', '-152203348#3', '-152203348#4', '-152203348#5', '-22850142#0', '-22850142#1', '152203348#1', '152203348#2', '152203348#3', '152203348#4', '152203348#5', '22850142#0', '22850142#1']"
J Palkar Road,"['-1200725389#1', '1200725389#1']"
G M Bhosle Marg,"['1177154782', '1249027317', '658655411#0', '658655411#1', '658655411#10', '658655411#11', '658655411#2', '658655411#3', '658655411#4', '658655411#5', '658655411#6', '658655411#7', '658655411#8', '658655411#9']"
Mumbai Coastal Road - Phase I,['1266293263']
Dr. R. G. Thadani Marg,"['1239434254#1', '220843434', '22850489#0', '22850489#1', '22850489#2', '22850489#3', '22850489#4', '22850489#5', '39678318#0', '39678318#1', '39678318#2', '39678318#3', '39678318#4', '39678318#5', '39678318#6', '61652876']"
Professor Narendra Ganpat Bansode Marg,"['-1219443082#1', '-1219443083', '-22850313#0', '-22850313#1', '-22850313#2', '1219443082#1', '1219443083', '22850313#0', '22850313#1', '22850313#2']"
B G Kher Marg,"['22852231#0', '22852231#1', '22852231#2', '22852231#3']"
C R Marg,"['22850347#0', '22850347#1']"
Sudam Kalu Ahire Marg,"['-22850376#0', '-22850376#1', '-22850376#3', '22850376#0', '22850376#1', '22850376#3']"
H R Divekar Marg,"['-1177154781#0', '-1177154781#1', '-22850287', '1177154781#0', '1177154781#1', '22850287']"
Khan Abdul Gaffar Khan Marg,"['1239434255#0', '1239434255#2', '1239434255#3', '1239434255#3-AddedOnRampEdge', '1239434255#4', '1239434255#5', '1239434255#6', '1239434256#0', '22852497#0', '662360115#1']"
